rank,id,severity,title,owner,file,line,trigger,smallest_fix,regression_check,dependency_and_coordination,evidence,status
11,RVA-03-002,P3,409 handling discards the server's X-State-Revision and fetches the whole snapshot to learn the conflict revision,A: Native and domain,apps/ios/Reva/Core/ServerClient.swift,108,Any push that returns HTTP 409.,Give ServerFailure.conflict an Int? parsed from X-State-Revision (mirroring .empty) and use it in the handler; keep the secondary pull only as a fallback when the header is absent.,Extend the existing transport test to assert the parsed revision; add a StateChecks case where onPush throws .conflict(11) and assert serverConflictRevision == 11 with no pull performed.,Independent focused commit in assigned owner's worktree; rebase before review.,Source proof above. TransportTests.swift:193-210 already sends X-State-Revision: 11 on a 409 and asserts only .conflict. | Independent validation: Core/ServerClient.swift:108; State/AppStore+Sync.swift:111-125; Fable r1-16-client-server covers normal conflict transport.,suggestion
12,RVA-03-003,P3,"load() ignores a valid backup when state.json is absent, so the first-run seed replaces a recoverable checkpoint",A: Native and domain,apps/ios/Reva/Core/LocalRepository.swift,21,state.json missing while state.backup.json is valid.,"In load(), when the active file is absent but a validated backup decodes, return (backup, true).","DomainTests: save twice, delete state.json, assert load() returns the backup with recovered == true instead of nil.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source proof: LocalRepository.swift:20-23, 42-47; AppStore.swift:83-84. Refutation: searched for any in-app path that deletes state.json; none exists. | Independent validation: Core/LocalRepository.swift:20-23,42-47; State/AppStore.swift:83-84.",suggestion
13,RVA-03-004,P3,"Push replaces server attachment bytes before the CAS snapshot write while pull refuses the same situation; documented tradeoff, server-side hardening proposed",A: Native and domain,apps/ios/Reva/State/AppStore+Sync.swift,58,Two clients of one owner hold different bytes under the same filename; one pushes and receives 409 from PUT /v1/state after its attachment uploads already replaced the server copies keyed by sha256(filename).,"Server: let PUT /v1/attachments/:id refuse to replace existing different bytes unless the client supplies an explicit override (If-Match/expected revision), returning 409 with the current revision. Client: word the pull-conflict message differently for bundled fixture names. Keep fixture bytes pinned via the existing fixture-manifest.json hashes on both clients.","Server test: upload bytes A, upload bytes B under the same id without override -> 409 and A retained; with override -> replaced. Native: existing StateChecks R2 case stays green.",Independent focused commit in assigned owner's worktree; rebase before review.,Source proof above; documentation lines cited; fixture byte comparison performed read-only with shasum. | Independent validation: State/AppStore+Sync.swift:53-65; LocalRepository.swift:67-80; server LocalFileStore.swift:108-121; browser README.md:56 explicitly describes separate operations.,suggestion
14,RVA-03-005,P3,AppStore 409/empty orchestration and staged-file rollback on a snapshot-generation change have no executable coverage,A: Native and domain,Tests/OptimizationChecks/StateChecks.swift,51,A regression in AppStore+Sync.swift:111-129 (conflict handler or tombstone path) or in the rollback of staged files when the snapshot generation changes with files already staged.,"Add to checkSync: onPush throws .conflict with remote revision 2 -> assert snapshot and serverRevision unchanged and serverConflictRevision == 2; emulate the Settings overwrite (serverRevision = 2, push) -> assert serverRevision == 3; onPull throws .empty(5) -> assert serverRevision == 5 and snapshot unchanged. Add a checkPullFiles case that mutates the store from onAttachment after a new file was staged and asserts the staged file is removed.","The added checks themselves, run via scripts/check_optimization_fixes.py.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source proof above; git show 77c03da confirms the harness was written for R1/R2/R3/R5/R6/R9 only. | Independent validation: Tests/OptimizationChecks/StateChecks.swift:47-56,123-128; evidence/r1-17-optimization-checks.log; gated live test exercises ServerClient rather than AppStore.",suggestion
15,RVA-03-006,P3,"OptimizationChecks harness relies on assert/assertionFailure, which compile to no-ops under -O",A: Native and domain,scripts/check_optimization_fixes.py,97,"Anyone adds -O or a release configuration to the swiftc invocation at lines 97-98, or compiles the harness another way.","Replace assert/assertionFailure with precondition/preconditionFailure, or a small check(_:_:) helper that prints and exits 1.",Compile the harness with -O and a deliberately failing expectation; it must exit nonzero.,Independent focused commit in assigned owner's worktree; rebase before review.,Swift assert semantics (debug-only) and the compile line at scripts/check_optimization_fixes.py:97-98. | Independent validation: scripts/check_optimization_fixes.py:97-99; evidence/r1-17-optimization-checks.log.,suggestion
16,RVA-03-008,P3,No native content SHA-256 is computed or stored for preserved originals,A: Native and domain,apps/ios/Reva/Core/Models.swift,35,"The brief's carried-forward product requirement lists preserved originals as bytes, filename, MIME, SHA-256 and pages.","Add optional sha256: String? (lowercase hex) to MedicalRecord and VisitRecording, computed at AddRecordView save and RecordingSessionView.finish(); verify opportunistically before push/transcribe. Optional fields keep older snapshots decodable and the browser mirror trivially extendable.","DomainTests: save a record with bytes, reload, assert stored hash equals SHA256(bytes); TransportTests round trip preserves the field.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source proof above; grep -i sha256 over apps/ios, apps/web/src and server/Sources. | Independent validation: Core/Models.swift:25-46,146-158; Core/ServerClient.swift:44-46; LocalRepository.swift:67-80; browser repository.ts:219-223 hashes bundled fallback only.",suggestion
17,RVA-04-003,P3,"Visit editor time-zone picker shifts the already-entered wall-clock time, defaults to America/Chicago regardless of device zone, and offers only six zones; browser keeps wall-clock time and includes the device zone",A: Native and domain,apps/ios/Reva/Features/Preparation/VisitEditorView.swift,43,"On a device in America/New_York, open Add visit, set 'Date & time' to 10:00 (displayed in the default America/Chicago zone, VisitEditorView.swift:21,43-44), then change 'Time zone' to America/New_York and save.","On zone change, re-derive `date` so the calendar components stay constant in the new zone (as visitDates.ts does); default `zone` to TimeZone.current.identifier and include it in the Picker list (mirroring VisitEditor.tsx:125).",Unit test on the conversion helper: entering 10:00 in Chicago then switching to New_York yields an instant displaying 10:00 New_York; UI test that the picker's displayed time is unchanged after a zone switch.,Independent focused commit in assigned owner's worktree; rebase before review.,"VisitEditorView.swift:20-21,43-52,99-117; Models.swift:217; browser VisitEditor.tsx:20,48-56 and visitDates.ts:16-44 (wall-clock components stored as a string until save). Refutation attempt: verified that no onChange(of: zone) handler re-derives the Date to preserve wall-clock components (none present) and that the default zone is not derived from TimeZone.current (it is a literal). | Independent validation: VisitEditorView.swift:20-21,43-51,109-110; browser VisitEditor.tsx:20,46-55.",suggestion
18,RVA-04-010,P3,"Unsaved-changes protection exists only in the symptom editor; the visit, record, profile, report-notes and import-review sheets discard edits on Cancel or swipe-down without confirmation",A: Native and domain,apps/ios/Reva/Features/Preparation/VisitEditorView.swift,80,"Type into any of: VisitEditorView, RecordEditorView, MedicalProfileEditor, ReportEditorView, or the AddRecordView review card (after extraction), then tap Cancel or swipe the sheet down.",Reuse the symptom editor's hasChanges/confirmDiscard/interactiveDismissDisabled pattern in the other editors (a small shared modifier would suffice).,"UI test: edit a field, swipe down, assert the sheet remains and a discard dialog appears.",Independent focused commit in assigned owner's worktree; rebase before review.,Line citations above; positive pattern in SymptomEntryEditorView.swift:115-128. Refutation attempt: confirmed no .interactiveDismissDisabled or confirmationDialog in the five views. | Independent validation: VisitEditorView.swift:80; RecordEditorView.swift:52; AddRecordView.swift:119; positive symptom confirmation pattern.,suggestion
19,RVA-04-011,P3,Past visits list oldest-first on native (browser lists past visits newest-first); native 'Upcoming' relies on status only while the browser also uses the date,A: Native and domain,apps/ios/Reva/Features/Preparation/VisitsView.swift,17,Visits tab > Past with several completed visits; or leave an 'upcoming' visit un-marked after its date passes.,"In VisitsView, reverse the order for the Past segment (or expose upcoming/past projections from AppStore); align the upcoming predicate with the browser's status+date rule or document the difference.",Unit test on the projection: Past returns descending instants.,Independent focused commit in assigned owner's worktree; rebase before review.,"AppStore.swift:98; VisitsView.swift:17-19,34; browser VisitsPage.tsx:20-35. Refutation attempt: looked for a reversed sort in VisitsView (none). | Independent validation: VisitsView.swift:17-19; State/AppStore.swift:98; browser VisitsPage.tsx:20-35.",suggestion
20,RVA-04-012,P3,Visit lifecycle gaps: no way to delete a visit (native or browser) and visit notes are only editable after a brief exists,A: Native and domain,apps/ios/Reva/State/AppStore+Visits.swift,11,Add an appointment by mistake; or try to add personal notes to a visit before generating a brief.,"Add `deleteVisit(id)` in AppStore+Visits that removes the visit and its bookings/recordings in one mutate, with a confirmation dialog in VisitDetailView; add a 'Your notes' TextEditor to VisitEditorView.",Unit test: deleting a visit with a booking and recording leaves a snapshot that passes validate(); UI test for the confirmation.,Independent focused commit in assigned owner's worktree; rebase before review.,"AppStore+Visits.swift:10-32; VisitDetailView.swift:146-150; ReportView.swift:63,86; VisitEditorView.swift:35-77 (no notes field); Models.swift:178-181 (validate requires bookings/recordings to reference existing visits, so deletion must cascade). | Independent validation: AppStore+Visits.swift:11-32; VisitDetailView.swift:146-150; browser VisitBrief.tsx:196-201.",suggestion
21,RVA-04-013,P3,"Profile keeps isDemo=true after the user replaces every demo field, so it stays labeled 'Fictional demo profile'",A: Native and domain,apps/ios/Reva/Features/Profile/MedicalProfileEditor.swift,109,"Edit medical profile: replace name, DOB, allergies, medications, conditions with real details and save.","Clear isDemo when the saved name differs from the seed name and no field still contains '(Synthetic)'/'Fictional', or reword the caption to 'Started from the fictional demo profile'.",Unit test on saveMedicalProfile with real-looking input asserting isDemo == false (or caption test).,Independent focused commit in assigned owner's worktree; rebase before review.,"MedicalProfileEditor.swift:108-117; AppStore+Profile.swift:11-35; MedicalProfileView.swift:32-34. Refutation attempt: confirmed no path clears PatientProfile.isDemo in apps/ios (grep). | Independent validation: MedicalProfileEditor.swift:109-117; MedicalProfileView.swift:32-34; browser MedicalProfilePage.tsx:74,180-189.",suggestion
22,RVA-04-014,P3,"AddRecordView: stale import error persists after a successful photo/scan import, and Cancel does not cancel the running extraction Task",A: Native and domain,apps/ios/Reva/Features/Records/AddRecordView.swift,127,"(a) Trigger an import error (e.g., unsupported file), then choose a photo or scan that succeeds. (b) Start a multi-page scanned PDF import and tap Cancel while 'Reading your document' is shown.","Reset importError at the start of every extraction path (move the reset into setImported/working=true), keep the extraction Task in @State and cancel it in Cancel/onDisappear.",UI test: error then successful photo import shows no banner; unit test that cancelling the task makes ingest throw CancellationError promptly.,Independent focused commit in assigned owner's worktree; rebase before review.,"AddRecordView.swift:111-115,119,123,128,127-138,139-173,182,190,196,216-223; DocumentImportService.swift:324,331. Refutation attempt: verified there is no @State Task handle or onDisappear cancellation in AddRecordView. | Independent validation: AddRecordView.swift:111-173,216-231; DocumentImportService bounded limits.",suggestion
23,RVA-05-007,P3,"loadSample(visitID:) ignores its visitID parameter, so the API implies per-visit sample attachment that never happens",A: Native and domain,apps/ios/Reva/State/AppStore+Recordings.swift,22,Tap 'Explore sample transcript' on any visit other than the fixture visit demo-visit-primary-20260908 (VisitDetailView.swift:122-129 passes the current visit id).,Drop the parameter (loadSample()) or rename to make the fixture binding explicit; optionally show a notice that the sample lives on its fixture visit when opened from another visit.,"Compile; existing behaviour (existing sample id returned, no audioFilename) unchanged.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source: AppStore+Recordings.swift:22-39 (sed -n verified); VisitDetailView.swift:122-129,130. | Independent validation: State/AppStore+Recordings.swift:22-39; fixture source identity; VisitDetail sample navigation.",suggestion
24,RVA-05-010,P3,"Re-saving an unchanged memory discards a connected-AI summary of the memory record and bumps its version, staling briefs for no source change",A: Native and domain,apps/ios/Reva/State/AppStore+Recordings.swift,97,"Save a visit memory, open the memory record and use 'Summarize with Gemini' (RecordDetailView.swift:66-70 offers it for any record with text), then tap 'Update memory in Records' again without changing the transcript or notes.",Only reset summary/summaryModel when record.text actually changes (compare previous.text before assigning); keep the version rule as is.,"Harness: save memory, set summaryModel on the record, call saveMemory again with no change; assert summaryModel and version unchanged.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source: AppStore+Recordings.swift:94-97,116-119 (sed -n verified); ReportEngine.swift:41-42 (signature inputs). Refutation attempt: checked whether the text-unchanged case short-circuits; it does not. | Independent validation: State/AppStore+Recordings.swift:94-119; browser core/mutations.ts:42-79; signature includes summary/version.",suggestion
25,RVA-06-003,P3,"Persistence module depends on the transport module, and features bypass the injected store persistence through module-level attachment helpers",A: Native and domain,apps/web/src/core/repository.ts,7,"Inspect imports: repository.ts:7 imports boundedBytes, MAX_ATTACHMENT_BYTES and MAX_SNAPSHOT_BYTES from api.ts; repository.ts:287-290 exports a module singleton plus saveAttachment/getAttachment wrappers that ImportDialog.tsx:126, RecordingCapture.tsx:114, SourcePreview.tsx:34 and RecordingDetail.tsx:31 import directly.","Move boundedBytes and the two MAX_* constants into a leaf module (for example core/limits.ts) imported by both api.ts and repository.ts; expose saveAttachment/getAttachment on RevaStore (delegating to this.persistence) and on useReva(), and delete the module-level wrappers.",npx tsc -b passes; grep for '../../core/repository' in features returns nothing; store test injecting MemoryRepository observes saveAttachment calls.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '5,8p;286,290p' apps/web/src/core/repository.ts; grep -rn saveAttachment|getAttachment apps/web/src/features. Refutation attempt: confirmed no feature mutates snapshots outside store.mutate; the only bypass is attachment IO. | Independent validation: core/repository.ts:7,287-290; ImportDialog.tsx:126; RecordingCapture.tsx:114; store injected repository interface.",suggestion
26,RVA-06-004,P3,Transfer rules (MIME allowlists and blob size bounds) are duplicated in four places with different subsets,A: Native and domain,apps/web/src/core/store.ts,341,"Compare api.ts:32-48 (15 upload MIME types), store.ts:54-61 (6 audio extensions), store.ts:341-350 (8 transcribable audio types), repository.ts:34-38 and api.ts:230/295 (three copies of 'nonempty and <= 16 MiB').","Export a single MEDIA_TYPES table (extension -> canonical MIME, transcribable flag) from one core module and derive the three lists from it; reuse checkedBlob-style validation from one helper.",Unit test asserting every transcribable type is uploadable and every audioType value appears in the upload allowlist.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '30,51p' apps/web/src/core/api.ts; sed -n '52,63p;339,354p' apps/web/src/core/store.ts; sed -n '34,38p' apps/web/src/core/repository.ts. | Independent validation: core/api.ts:30-50; store.ts:54-61,339-354; repository.ts:34-38; server supported list.",suggestion
27,RVA-06-005,P3,"Test MemoryRepository fabricates an original for unknown filenames, so store tests cannot detect a push or transcription that proceeds without a real original",A: Native and domain,apps/web/src/core/__tests__/fixtures.ts,62,fixtures.ts:62-64 returns new Blob(['synthetic original']) when the filename is absent; production IndexedDBRepository.getAttachment (repository.ts:204-208) throws 'missing'.,Make MemoryRepository.getAttachment throw the production 'missing' error for unknown filenames and pre-populate attachments in the push tests; add one test asserting push fails before any upload when an original is missing.,New test passes; existing push tests still pass after seeding the nine fixtures.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '59,65p' apps/web/src/core/__tests__/fixtures.ts; sed -n '204,208p' apps/web/src/core/repository.ts; store.test.ts push tests at lines 208-225 and 226-247 never seed attachments. Refutation attempt: checked whether any store test asserts a missing-original failure on push; none does. | Independent validation: core/__tests__/fixtures.ts:62-64; production repository.ts:204-208; saved test suite source and runner counts.",suggestion
28,RVA-06-006,P3,Attachment PUT/GET share the generic 25 s total deadline while a same-size transcription upload gets 110 s; large originals on slow links cannot be pushed or pulled,A: Native and domain,apps/web/src/core/api.ts,232,"Push or pull a 16 MiB original (the documented cap) over a link slower than about 5.4 Mbit/s sustained (16 MiB / 25 s); the AbortController at api.ts:146-147 fires, send() throws the timeout error, and pushToServer/pullFromServer abort.","Pass a size-derived timeout for attachment transfers (for example max(25 s, bytes / 256 KiB per s)) or the same 110 s used for transcription.",api.test: uploadAttachment with a 16 MiB Blob and a fetch mock that resolves after 30 s (fake timers) succeeds; a stalled fetch beyond the scaled deadline still rejects with the timeout message.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '138,172p;229,252p;294,304p' apps/web/src/core/api.ts. Arithmetic: 16 MiB = 134.2 Mbit; 134.2 / 25 s = 5.37 Mbit/s minimum. Native ServerClient uses URLSession timeoutInterval = 20 (apps/ios/Reva/Core/ServerClient.swift:100), which is an idle timeout, not a total deadline. | Independent validation: core/api.ts send default and uploadAttachment:232; store upload loop; original finding arithmetic16MiB/25s.",suggestion
29,RVA-06-008,P3,Cold-start seeding race: the second tab to open an empty workspace ends with no snapshot until the user reloads,A: Native and domain,apps/web/src/core/store.ts,146,"Open /demo in two tabs on a browser that has no reva-workspace-v1 database yet. Both stores see load() === null and call commit(seed, 0); the IndexedDB CAS (repository.ts:140-141) lets one win and rejects the other with LocalConflictError.","In initialize(), if commit(seed, 0) rejects with LocalConflictError, call load() again and adopt the result.",Store test with two RevaStore instances over one IndexedDBRepository (fake-indexeddb): both initialize() calls resolve with a non-null snapshot and identical revision 1.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '141,167p' apps/web/src/core/store.ts; sed -n '140,141p' apps/web/src/core/repository.ts. repository.test.ts:39-55 proves the CAS behaviour; store.test.ts never exercises the fresh-database seed path (MemoryRepository starts pre-seeded at revision 1, fixtures.ts:33). | Independent validation: core/store.ts:141-167; repository.ts:140-141; no two-tab runtime reproduction claimed.",suggestion
30,RVA-06-009,P3,"Browser pull overwrites a same-name local original without comparing bytes, unlike the native staging guard",A: Native and domain,apps/web/src/core/repository.ts,147,"A pulled snapshot references filename X while the local attachments store already holds X with different bytes (only reachable through the shared public demo token with differing fixture builds, or a server whose attachment X was replaced by another client's failed-CAS upload of the same UUID-prefixed name, which normal imports cannot produce).","In write(), when an attachment key already exists with different size or SHA-256, abort with an explicit conflict message (or store under a versioned key and update the record's sourceFilename) instead of overwriting.",repository.test: commit with attachments {X: bytesA}; commit again at the new revision with {X: bytesB}; expect rejection and getAttachment(X) still returns bytesA.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '111,162p' apps/web/src/core/repository.ts; sed -n '67,79p' apps/ios/Reva/Core/LocalRepository.swift. Refutation attempt: traced filename generation on both clients and the manifest hash check (repository.ts:222-223); no realistic non-demo path produces a conflict, hence suggestion rather than candidate. | Independent validation: repository.ts:111-162; RecordDetail retained-original copy; Native LocalRepository.swift:67-80 comparison guard.",suggestion
