rank,id,severity,title,owner,file,line,trigger,smallest_fix,regression_check,dependency_and_coordination,evidence,status
11,RVA-05-002,P2,A failed finish() leaves the recorder in a dead-end paused state whose only guidance is contradictory,A: Native and domain,apps/ios/Reva/Device/AudioServices.swift,210,"finish() throws after stopping the recorder: verification fails because the file is empty/shorter than 0.1 s (Start then Finish within ~100 ms, or an input that produced no encoded frames), or AVAudioPlayer(contentsOf:) rejects a file left unfinalised after mediaServicesWereReset/encode error (both paths already set reachedEnd = true and tell the user to 'Save what was captured').","In finish()'s catch, transition to an explicit terminal state (e.g. a 'finishFailed' flag) and have resume() report 'This recording could not be finalised; discard it and start a new recording'; change the emptyRecording text to match (do not promise 'record a little longer'). Alternatively perform verification before setting reachedEnd and only mark terminal when the stop actually happened.","Unit-style harness on AudioRecorder with an injected empty draft: after finish() throws, assert resume() publishes the finalisation message (not the one-hour text) and that cancel() returns to the ready state; UI check that the session screen offers a discard/restart action.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source lines verified with sed -n: AudioServices.swift:26 (emptyRecording text), :176-182 (resume guard and one-hour text), :202-228 (finish state changes before verification, catch does not reset state), :111 (start busy guard). RecordingSessionView.swift:42-46 renders Resume/Finish while isRecording. Refutation attempt: looked for any path that clears reachedEnd or recorder after a failed finish; only cancel()/cleanUpDraft() do (lines 232-253), which delete the draft. | Independent validation: Device/AudioServices.swift:176-182,202-227,232-252; RecordingSessionView.swift:42-46,77-89.",confirmed
12,RVA-04-001,P2,"Native visit ordering compares raw ISO strings, so offset-formatted seed visits and Z-formatted user visits misorder; Summary can show the wrong next visit",A: Native and domain,apps/ios/Reva/State/AppStore.swift,98,"With the bundled demo loaded (seed visit 'demo-visit-primary-20260915' stored as '2026-09-15T09:00:00-05:00' = 14:00Z, apps/ios/Reva/Resources/seed.json:286), add a visit via VisitEditorView for 2026-09-15 08:00 America/Chicago (stored by RevaDate.iso as '2026-09-15T13:00:00Z', VisitEditorView.swift:109, Models.swift:217). Open Summary and the Visits tab.","Sort by `RevaDate.parse($0.date) < RevaDate.parse($1.date)` (tie-break on id), matching the records sort in the same file; optionally normalize visit.date to RevaDate.iso on load or in the seed.",Unit test in RevaCoreTests (or a new AppStore test target) constructing visits with '2026-09-15T09:00:00-05:00' and '2026-09-15T13:00:00Z' and asserting the Z visit sorts first; snapshot-level check that Summary next visit equals min-by-instant upcoming visit.,A owns shared AppStore integration. Land connection guards before adjacent startup/order edits; preserve source/version protections.,"Source: AppStore.swift:98 string sort; seed.json:286,306,326 use '-05:00' offsets; VisitEditorView.swift:109 writes RevaDate.iso(date); Models.swift:217 ISO8601DateFormatter().string(from:) emits 'Z' UTC. Refutation attempt: checked whether AppStore.init or AppSnapshot.validate normalizes visit dates on load (they do not; AppStore.swift:54-87, Models.swift:169-186) and whether the editor rewrites untouched seed visits (only when a seed visit is edited and saved). Browser parity: apps/web/src/features/visits/VisitsPage.tsx:28-35 sorts by parsed epoch, so the browser orders the same data correctly. Runtime unverified (no simulator permitted); a pure-Swift string-comparison demonstration is requested as ER-04-03. | Independent validation: State/AppStore.swift:98; Features/Shared/SummaryView.swift:20; VisitsView.swift:17-34; RevaDate.iso; seed dates. evidence/codex-takeover/provider-context-repro.txt (compiler exit0, run exit0); evidence/codex-takeover/ProviderContextRepro.swift:73-108 uses production ReportEngine/AppStore/LocalRepository with synthetic data and a controlled transport double.",confirmed
13,RVA-16-001,P2,Vercel setup guide specifies conflicting project roots with different deployment configurations,C: Server and release integration,apps/web/README.md,52,"Configure the Vercel project using the browser README during landing-route integration: line 34 specifies repository root, but line 52 specifies apps/web.","Choose and document one Vercel root; preserve its complete build/output/security configuration and explicitly reconcile the new pathname routes. With repository root retained, move intended route rules into the active root configuration and remove contradictory nested-root guidance. Review /app and external API CSP only against the eventual account delta.","From a clean checkout execute the active configuration build with sibling fixtures available; validate /, /demo, /login, /signup and their refreshes under a Vercel-equivalent preview, verify security headers and that missing /v1 or OCR assets are not HTML fallbacks. Validate /app once implemented. Hosted confirmation remains a separate authorized deployment check.",C owns deployment/build contract. Review against a completed account checkpoint before hosting verification; do not sweep concurrent WIP into this repair.,"Precise source: apps/web/README.md:34,52; vercel.json:3-19; apps/web/vercel.json:3-8; apps/web/scripts/prepare-assets.mjs:18; docs/deployment-vercel.md:11-20. Supervisor Addendum 1 explicitly identifies this captured-WIP integration conflict. Runner r1-09-web-build.log and r1-08-serve-test.log validate local build/wrapper, not Vercel root selection or hosted rewrites. | Independent validation: apps/web/README.md:34,52; root vercel.json and apps/web/vercel.json; prepare-assets.mjs:18; docs/deployment-vercel.md:11-20.",confirmed
14,RVA-14-001,P2,Tablet navigation hides its only accessible link names,B: Browser and accessibility,apps/web/src/styles/layout.css,329,"Open the demo at a viewport between 761 and 979 CSS pixels wide, then navigate the desktop icon rail using a screen reader or inspect its accessibility tree.","Add stable aria-label values to the navigation and symptom/settings anchors, or keep their text visually hidden with a screen-reader-visible technique rather than display:none. Optional tooltips can help sighted users without replacing accessible names.",At 768 CSS pixels assert the accessibility-tree link names for all six rail actions and keyboard activation destinations; recheck 375 and 1440 to avoid duplicate or missing names.,Independent focused commit in assigned owner's worktree; rebase before review.,Source proof: apps/web/src/styles/layout.css:317-337 and App.tsx:108-135. Saved screenshot evidence/ui/demo-profile-768.png visibly shows the icon-only rail; matching DOM confirms the anchors have no explicit names. r2-ui-matrix.jsonl uses DOM text content for its label inventory and does not establish computed accessible names. Codex requested a bounded accessibility-tree confirmation from the coordinator; no new UI run is claimed here. | Independent validation: styles/layout.css:317-337; App.tsx:108-135; saved768 DOM contains unnamed anchors plus hidden spans; no accessibility-tree execution by validator.,confirmed
15,RVA-02-004,P3,Generic goal words become relevance terms and the fixture trailer is indexed,A: Native and domain,apps/ios/Reva/Core/ReportEngine.swift,72,"Completed seed visit demo-visit-primary-20260908 (concern 'Discuss patient-reported brief palpitations and nausea.', goal 'Review existing source documents and organize unresolved questions before the follow-up visit.').","Extend the stop list with document-generic words (patient, reported, documents, existing, organize, unresolved) and build the index from contentLines(record.text) so the fixture trailer is not indexed; add an expected-evidence scenario for the completed visit.",FixtureEvidenceTests scenario for demo-visit-primary-20260908 with mustExclude demo-record-ear-infection passes.,A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '68,72p;77,79p' apps/ios/Reva/Core/ReportEngine.swift; port_check.out section 2 (ear-infection 30 via documents/patient/reported); ER-02-02 item 2 requests Swift confirmation. | Independent validation: Core/ReportEngine.swift:68-85; browser core/domain.ts:113-134; seed completed visit goal and ear-record text. Original source review records term intersection; no fresh clinical relevance benchmark claimed.",confirmed
16,RVA-02-006,P3,RevaDate.display(time: false) renders the UTC calendar day of instants,A: Native and domain,apps/ios/Reva/Core/Models.swift,230,A report generated at 21:30 America/Chicago on 2026-09-11 has createdAt = 2026-09-12T02:30:00Z; ReportView.swift:27 shows RevaDate.display(report.createdAt); RecordingDetailView.swift:27 does the same for recording.createdAt.,Callers that display instants pass time: true (or add a dayOfInstant(zone:) variant); mirror in the browser formatDate callers.,"Unit test: RevaDate.display('2026-09-12T02:30:00Z', time: true, zone: 'America/Chicago') contains 'Sep 11'.",A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '203p;225,231p' apps/ios/Reva/Core/Models.swift; sed -n '27p' apps/ios/Reva/Features/Preparation/ReportView.swift; sed -n '27p' apps/ios/Reva/Features/Visits/RecordingDetailView.swift; sed -n '28p' apps/web/src/core/domain.ts. | Independent validation: Core/Models.swift:225-231; Features/Preparation/ReportView.swift:27; browser core/domain.ts:21-29 has the same rule but browser report header passes withTime=true.",confirmed
17,RVA-04-004,P3,'Create pre-visit brief' silently does nothing while a Gemini summary is in flight (connected AI on),A: Native and domain,apps/ios/Reva/Features/Preparation/VisitDetailView.swift,76,"Turn on 'Use connected AI', save a document or symptom entry (AddRecordView.swift:277-279 / SymptomEntryEditorView.swift:136 start summarizeWithAI in the background, setting isProviderBusy), immediately open a visit and tap 'Create pre-visit brief'.",Add `|| store.isProviderBusy` to the button's .disabled and show the same 'Working with connected service…' label ReportView uses; or set `notice` in the busy branch of generatePreferredReport.,"While summarization is in flight, assert either that the brief action is disabled with clear busy context or that attempting it produces the chosen visible retry notice. After completion the action must generate a brief normally.",Independent focused commit in assigned owner's worktree; rebase before review.,"VisitDetailView.swift:68-76,165-171; AppStore+AI.swift:34-38 (silent `return false`); comparison ReportView.swift:76-79. Refutation attempt: checked whether perform()/notice is set on the busy branch (it is not) and whether any other UI disables the button on isProviderBusy (none). | Independent validation: VisitDetailView.swift:68-80,165-170; State/AppStore+AI.swift:34-36; AddRecordView.swift:277-279; ReportView.swift:76-79.",confirmed
18,RVA-04-006,P3,"Camera-scanned documents are saved as kind 'Notes', so the 'Scan' filter misses them; record kind is never user-editable",A: Native and domain,apps/ios/Reva/Features/Records/AddRecordView.swift,268,"On a physical iPhone, Add record > 'Scan a document', capture pages, review, Save to Records. Then in Records choose the 'Scan' filter.",Track intake origin in AddRecordView (a `scanned` flag set in the scanner onFinish path) and use it for the kind; add a kind Picker (Notes/Labs/Imaging/Procedure/Scan) to AddRecordView's review card and RecordEditorView.,Unit-level: a scanner-origin ImportedDocument saved through the intake path yields kind == 'Scan'; UI: after a camera scan the 'Scan' filter lists the record.,Independent focused commit in assigned owner's worktree; rebase before review.,"AddRecordView.swift:139-165,268; DocumentImportService.swift:288; RecordsView.swift:18-20 (filter list) and 22-28 (kind equality); RecordEditorView.swift:28-49; Models.swift:47-57. Refutation attempt: checked whether ImportedDocument carries a scan flag or whether AddRecordView tracks the scanner origin to set the kind (neither exists). | Independent validation: Device/DocumentScanner.swift:60; AddRecordView.swift:139-165,268; DocumentImportService.swift:287-289; RecordsView.swift:18-28.",confirmed
19,RVA-04-007,P3,"ReportView question numbers use accent (heart red) on petal for 12pt bold caption text: 4.45:1, below the theme's own AA guidance",A: Native and domain,apps/ios/Reva/Features/Preparation/ReportView.swift,55,Open any visit brief with questions.,Change the foregroundStyle on ReportView.swift:55 to RevaTheme.accentText.,Grep Features/** for `foregroundStyle(RevaTheme.accent)` combined with `.background(RevaTheme.soft` on Text and assert none; optional contrast script (ER-04-05).,Independent focused commit in assigned owner's worktree; rebase before review.,"ReportView.swift:53-58; Theme.swift:17-25; design/palette.json accent.contrast and accentText.contrast values (4.45 not listed, computed). Refutation attempt: checked whether the number is decorative (accessibilityHidden) — it is not; VoiceOver reads it as part of the row. | Independent validation: ReportView.swift:53-56; Theme.swift:13-25; exact sRGB ratio independently recalculated in validator report.",confirmed
20,RVA-04-008,P3,"Exported visit-brief PDF still uses the superseded teal (#0A5B6C) for title, headings and header instead of the heart palette",A: Native and domain,apps/ios/Reva/Device/ReportPDFRenderer.swift,208,ReportView > 'Share visit brief' on a fresh brief.,"Replace `teal` with UIColor(hex: 0x8C2F3B) (deepRed for print legibility) via the existing UIColor(hex:) initializer in Theme.swift:30-36, and rename the property.",Grep Device/** for 'teal' returns nothing; visual check of an exported PDF.,Independent focused commit in assigned owner's worktree; rebase before review.,"ReportPDFRenderer.swift:126,133,141,181,208-210; design/palette.json 'supersedes' note; Theme.swift:13-15 current values. Refutation attempt: searched for a palette import in the renderer (none; UIKit colors are literal). | Independent validation: Device/ReportPDFRenderer.swift:126,133,141,181,208-210; Theme.swift:13-25; current design contract.",confirmed
21,RVA-07-002,P3,Failed browser import saves leave unused attachment keys and retries allocate new keys,B: Browser and accessibility,apps/web/src/features/records/ImportDialog.tsx,125,"In an open import dialog, make the snapshot save fail after the original transaction succeeds, for example by allowing another tab to advance IndexedDB CAS. Click Save to Records again without reloading.","Publish the original and record in the existing aggregate IndexedDB transaction, or retain one staged original identity across retries and remove that staging write on abandoned/failed publication. Keep the original selected in the dialog after an error.","Use two repositories/tabs to induce stale CAS after import opens; fail and retry three times, assert no extra unreferenced attachment keys appear and the preexisting snapshot remains unchanged. Then refresh/retry successfully and assert exactly one new record references one unchanged original.",Independent focused commit in assigned owner's worktree; rebase before review.,"ImportDialog.tsx:124-147 creates filename and persists original before saveRecord; 152-157 has error handling but no cleanup. repository.ts:177-185 commits attachments in a standalone transaction. core/store.ts:203-204 delegates record saving to a separate snapshot edit. No runtime storage/quota measurement claimed. | Independent validation: Frozen apps/web/src/features/records/ImportDialog.tsx:125-147,152-159; apps/web/src/core/repository.ts:177-185; apps/web/src/core/store.ts:203-204. Trigger: original save succeeds, record publication fails after another tab advances CAS, then retry in the same dialog. Impact: another unreachable original key per failed attempt.",confirmed
22,RVA-14-002,P3,Selected source text becomes dark text on a dark selection background,B: Browser and accessibility,apps/web/src/styles/tokens.css,117,"Select or keyboard-highlight a passage in a record, brief, or other selectable browser text.","Use the existing white surface/button-text token for selected text on the deep-red background, preserving the approved palette.",Select a source passage and inspect both rendered colors; verify readable selected foreground/background and unchanged regular text in supported browsers.,Independent focused commit in assigned owner's worktree; rebase before review.,"Exact source: apps/web/src/styles/tokens.css:12,17,117-119. Codex continuation computed luminance directly from these constants using the sRGB linearization formula; this is arithmetic evidence, not a runtime screenshot or assistive-technology test. Coordinator was asked for selection-style confirmation. | Independent validation: styles/tokens.css:12,17,117-119; arithmetic in18-validator.md.",confirmed
23,RVA-16-002,P3,Clean browser typecheck and tests depend on generated assets without preparing them,C: Server and release integration,apps/web/package.json,16,"After a clean npm ci, run npm run typecheck or npm test before npm run assets/dev/build, including the browser integration checklist order in docs/team-workflow.md.","Have typecheck/test prepare their required fixtures, or import checked-in native fixture sources through a deliberate test fixture boundary. Update the clean integration command sequence so it cannot skip required generation.","In a clean isolated checkout with public/demo absent, npm ci followed by the documented typecheck/test sequence succeeds; production build still includes byte-identical fictional originals and local OCR assets.",C owns deployment/build contract. Review against a completed account checkpoint before hosting verification; do not sweep concurrent WIP into this repair.,"Reproduced by runner: evidence/r1-06-typecheck.log (TS2307 and dependent errors), evidence/r1-07-vitest.log (5 failed files, 2 passed), then r1-06b-typecheck-after-assets.log and r1-07b-vitest-after-assets.log (77 passed). Source: package.json:10-17; src/core/__tests__/fixtures.ts:5; src/core/__tests__/domain.test.ts:6; .gitignore generated public/demo exclusion. No Codex rerun is claimed. | Independent validation: evidence/r1-06-typecheck.log exit1; r1-07-vitest.log5failedfiles; r1-06b-typecheck-after-assets.log exit0; r1-07b-vitest-after-assets.log77passed; package.json:10-17.",confirmed
