requirement_id,status,snapshot,files,evidence,finding_ids,reviewer,rationale
E05,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Device/ReportPDFRenderer.swift; apps/ios/Reva/Features/Preparation/ReportView.swift; apps/web/src/features/visits/VisitBrief.tsx; apps/web/src/styles/layout.css,reports/track-05.md; reports/track-08.md,RVA-04-008; RVA-05-009,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Fresh/stale export guards and bounded pagination source-reviewed; no fresh actual native/browser print artifact or system-print stale/clipping execution. Historical PDF is not current audit proof.
F01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore.swift; apps/ios/Reva/Core/LocalRepository.swift; apps/ios/Reva/Features/Shared/RootView.swift,"reports/track-03.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10,r1-17; evidence/codex-takeover/provider-context-repro.txt",RVA-03-001; RVA-03-003,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Production Swift harness simulates blocked repair write and reproduces valid loaded snapshot plus startupError; RootView then offers recovery/reset by source. Ordinary atomic save/recovery tests pass.
F02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/core/repository.ts; apps/web/src/core/store.ts; apps/web/src/core/__tests__/repository.test.ts,reports/17-evidence-runner.md; evidence/runner1-summary.json r1-07b; reports/track-06.md,RVA-06-008,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Fake-indexeddb tests exercise transaction/CAS/corruption/retention; real browser quota/error surfacing and cold-start concurrent seed behavior not executed. Atomic source design is positive partial evidence.
F03,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/Models.swift; apps/web/src/core/models.ts; server/Sources/RevaServer/Models.swift; server/Sources/RevaServer/PostgresStore.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-16,r1-12; reports/track-06.md; reports/track-13.md; evidence/codex-takeover/provider-context-repro.txt",RVA-13-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Field parity and real local Vapor/native round trip recorded; production Swift now matches all3 browser signature goldens, closing RVA-06-002. Successful PostgreSQL round trip alone remains a relevant execution gap."
F04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore+AI.swift; apps/ios/Reva/State/AppStore+LiveCalls.swift; apps/ios/Reva/State/AppStore+Sync.swift; apps/web/src/core/store.ts,"reports/track-10.md; reports/track-03.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-17,r1-07b; evidence/codex-takeover/provider-context-repro.txt",RVA-10-001; RVA-03-005; RVA-06-007,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Controlled production Swift harness reproduces owner-A summary and call transcript publishing after owner-B switch/replacement. Existing sync/discovery/browser guards still pass; no live provider or login UI exercised.
F05,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/core/store.ts; apps/web/src/core/api.ts; server/Sources/RevaServer/LocalFileStore.swift; server/Sources/RevaServer/PostgresStore.swift,"reports/track-06.md; reports/track-03.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-13,r1-17",RVA-06-001; RVA-03-004; RVA-13-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Owner isolation/CAS/bytes/collision checks have evidence, but the full attachment/DB requirement is not closed. RVA-06-001 is a documented retention/capacity suggestion after validation, not a demonstrated corruption defect. Live PostgreSQL and large-file execution remain unverified."
G01,Pass,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/HTTP.swift; server/Sources/RevaServer/Configuration.swift; server/Sources/RevaServer/Providers/VoiceCalls.swift; server/Sources/RevaServer/PostgresStore.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,r1-13,r1-15; reports/track-09.md",,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Captured static-token routes select trusted owner and owner-scope files/receipts; local HTTP tests enforce rejection/isolation. Expiring account sessions are WIP; successful DB behavioral isolation remains G04 gap.
G02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/HTTP.swift; server/Sources/RevaServer/Models.swift; server/Sources/RevaServer/Deadline.swift; server/Sources/RevaServer/Providers/GeminiTransport.swift; server/Sources/RevaServer/Providers/VoiceTransport.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,r1-13,r1-14; reports/track-09.md; reports/track-10.md",RVA-10-003,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Route/input/error/deadline guards tested; provider memory caps are post-collection on Linux/shared voice. No streaming-cap or hostile nested-resource measurement; do not claim uniform hard memory/time ceilings.
G03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/LocalFileStore.swift; server/Tests/RevaServerTests/ServerTests.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,r1-13; reports/track-09.md",,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Actor/flock CAS, monotonic tombstones, restart and corrupt-store failure have fresh runner evidence. File fsync+rename is source-reviewed; power-loss/directory-fsync and injected hardware disk failures unverified."
G04,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/PostgresStore.swift; server/Sources/RevaServer/Migrations/001_snapshot.sql; server/Tests/RevaServerTests/PostgresIntegrationTests.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,r1-14; reports/track-13.md",RVA-13-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,SQL/TLS/transaction design reviewed and unreachable DB fails closed; dedicated successful database gate skipped. No live Tiger/schema/permission/TLS deployment success inferred.
G05,WIP,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/HTTP.swift; server/Sources/RevaServer/Models.swift; apps/web/src/landing/AccountGate.tsx; apps/web/src/main.tsx,reports/track-12.md; reports/track-13.md; evidence/context/accounts-and-tiger.md; evidence/context/05-claude-project-handoff.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"No captured bcrypt/session/lockout implementation; frozen account contract supplies future requirements, not execution evidence."
G06,WIP,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/HTTP.swift; server/Sources/RevaServer/Models.swift; apps/web/src/landing/AccountGate.tsx; apps/web/src/main.tsx,reports/track-12.md; reports/track-13.md; evidence/context/accounts-and-tiger.md; evidence/context/05-claude-project-handoff.md,RVA-06-007,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Account/demo repository and in-flight request isolation implementation is outside snapshot; current token workspace is not a verified account system.
G07,WIP,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/HTTP.swift; server/Sources/RevaServer/Models.swift; apps/web/src/landing/AccountGate.tsx; apps/web/src/main.tsx,reports/track-12.md; reports/track-13.md; evidence/context/accounts-and-tiger.md; evidence/context/05-claude-project-handoff.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Snapshot has explanatory login/signup gates only; real forms,onboarding,/app and account authentication are actively planned outside captured source."
G08,WIP,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/HTTP.swift; server/Sources/RevaServer/Models.swift; apps/web/src/landing/AccountGate.tsx; apps/web/src/main.tsx,reports/track-12.md; reports/track-13.md; evidence/context/accounts-and-tiger.md; evidence/context/05-claude-project-handoff.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,No AccountStore or migration002 captured; user/medical owner joins and existing-token migration require separately frozen completed delta.
H01,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/Providers/ProviderConfiguration.swift; server/Sources/RevaServer/Providers/ProviderRoutes.swift,reports/track-10.md; https://ai.google.dev/gemini-api/docs/models; https://ai.google.dev/api/generate-content,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Primary catalog fetched2026-09-12 explicitly lists “Gemini 3.8 Flash”→“gemini-3.8-flash” and “Gemini 3.5 Flash-Lite”→“gemini-3.5-flash-lite”; generateContent method documented. Live key entitlement/quota not tested.
H02,Defect,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/Providers/GeminiService.swift; server/Sources/RevaServer/Providers/GeminiModels.swift; apps/ios/Reva/State/AppStore+AI.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,r1-15; reports/track-10.md; evidence/codex-takeover/provider-context-repro.txt",RVA-10-001; RVA-10-003,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Server structured-output rejection is mocked-tested. Controlled production Swift harness reproduces stale summary after connection change; provider streaming memory and live model semantics remain unverified.
H03,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/Providers/VoiceTranscription.swift; server/Sources/RevaServer/Providers/VoiceTransport.swift; apps/ios/Reva/Core/ProviderClient.swift,reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12; reports/track-11.md; https://developers.openai.com/api/reference/resources/audio/subresources/transcriptions/methods/create,RVA-11-006,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Original MIME/bytes/filename and finite timestamp guards pass mocked adapter tests; official API documents Ogg/WebM/whisper1 segments. Actual codec decode/transcription fidelity and remaining guard cases unexecuted.
H04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/Providers/ProviderConfiguration.swift; server/Sources/RevaServer/Providers/GeminiTransport.swift; apps/web/src/core/api.ts; apps/ios/Reva/State/AppStore+LiveCalls.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,r1-15; reports/track-10.md; evidence/codex-takeover/provider-context-repro.txt",RVA-10-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Keys remain server-only and hosts/redirect rules controlled. Production Swift harness reproduces old-owner transcript written into replacement owner snapshot; stale publication, not provider-key exposure. Account sessions WIP."
H05,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/Providers/GeminiService.swift; apps/ios/Reva/Core/ReportEngine.swift; apps/web/src/core/domain.ts,reports/track-10.md; reports/track-02.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12; evidence/codex-takeover/provider-context-repro.txt,RVA-10-002; RVA-02-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"System/user separation,no tools and ID checks implemented. Production Swift harness shows ordinary content discarded by fixture marker heuristic; hostile-model semantic resilience remains unverified, no live model claim."
I01,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore+Bookings.swift; apps/ios/Reva/Core/BookingEngine.swift; apps/web/src/features/visits/BookingPanel.tsx; apps/web/src/core/mutations.ts,"reports/track-08.md; reports/track-11.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10,r1-07b",RVA-11-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Source and domain tests support simulation labels,outcomes,idempotent existing-visit confirmation and relaunch repair. Complete native/browser simulation-review-confirm-reload journey not executed."
I02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Visits/LiveBookingEditorView.swift; apps/web/src/features/visits/BookingPanel.tsx; server/Sources/RevaServer/Providers/VoiceCalls.swift,reports/track-08.md; reports/track-11.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,RVA-11-004,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Current UI explicit review/consent and server config/enable gates source/mock-tested; configured agent actually consuming frozen variables and full review interaction unverified. No real call attempted.
I03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,server/Sources/RevaServer/Providers/VoiceCalls.swift; server/Tests/RevaServerTests/VoiceProviderTests.swift,reports/track-11.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-12,RVA-11-001; RVA-11-005; RVA-11-006,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Mocked outbound transport with real temporary receipt IO exercises intent-before-dial,restart,replay,concurrency and corruption fail-closed. Operational persistent volume and native UI execution remain qualified gaps."
I04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore+LiveCalls.swift; apps/web/src/features/visits/BookingPanel.tsx; server/Sources/RevaServer/Providers/VoiceCalls.swift,reports/track-10.md; reports/track-11.md; reports/track-08.md; evidence/codex-takeover/provider-context-repro.txt,RVA-10-001; RVA-11-002; RVA-11-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Call completion correctly stays separate from appointment confirmation. Controlled production Swift harness reproduces delayed owner-A transcript persisted in owner-B snapshot sharing request ID; no actual call made.
J01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Device/AudioServices.swift; apps/ios/Reva/Features/Visits/RecordingSessionView.swift; apps/web/src/features/visits/useVisitRecorder.ts,reports/track-05.md; reports/track-08.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-07b,RVA-05-002; RVA-05-008,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Failed native finish leaves stopped recorder with reachedEnd/isRecording state and contradictory retry guidance. Mocked browser lifecycle tests pass; real microphone/interruption/device behavior unverified.
J02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Device/AudioServices.swift; apps/ios/Reva/State/AppStore+Recordings.swift; apps/web/src/features/visits/RecordingCapture.tsx; apps/web/src/features/visits/RecordingsPanel.tsx,reports/track-05.md; reports/track-08.md; reports/track-11.md,RVA-05-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Source and mocked multipart evidence preserve originals and separate fictional sample/no audio from real recordings. Actual AAC/WebM/Ogg playback and unsupported-codec errors on target devices not tested.
J03,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Visits/RecordingNotesEditor.swift; apps/ios/Reva/State/AppStore+Recordings.swift; apps/web/src/features/visits/RecordingDetail.tsx,reports/track-05.md; reports/track-08.md,RVA-05-001; RVA-05-010,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Native notes editor writes stale whole recording and can erase a newly arrived transcript. Word-only corrections and stable memory identity otherwise traced; idempotent AI-memory-summary reset is a separate suggestion.
